query_id,query_contract_id,true_label,method,k,hit_at_k,rr,top1_label,top1_score,exact_duplicate_excluded,same_contract_excluded
0,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Rofr/Rofo/Rofn,BM25_leakage_controlled,1,1,1.0,Rofr/Rofo/Rofn,55.158364365117706,True,True
0,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Rofr/Rofo/Rofn,BM25_leakage_controlled,3,1,1.0,Rofr/Rofo/Rofn,55.158364365117706,True,True
0,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Rofr/Rofo/Rofn,BM25_leakage_controlled,5,1,1.0,Rofr/Rofo/Rofn,55.158364365117706,True,True
0,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Rofr/Rofo/Rofn,BM25_leakage_controlled,10,1,1.0,Rofr/Rofo/Rofn,55.158364365117706,True,True
0,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Rofr/Rofo/Rofn,SBERT_leakage_controlled,1,1,1.0,Rofr/Rofo/Rofn,0.7035199403762817,True,True
0,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Rofr/Rofo/Rofn,SBERT_leakage_controlled,3,1,1.0,Rofr/Rofo/Rofn,0.7035199403762817,True,True
0,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Rofr/Rofo/Rofn,SBERT_leakage_controlled,5,1,1.0,Rofr/Rofo/Rofn,0.7035199403762817,True,True
0,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Rofr/Rofo/Rofn,SBERT_leakage_controlled,10,1,1.0,Rofr/Rofo/Rofn,0.7035199403762817,True,True
1,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Anti-Assignment,BM25_leakage_controlled,1,1,1.0,Anti-Assignment,27.89236575619829,True,True
1,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Anti-Assignment,BM25_leakage_controlled,3,1,1.0,Anti-Assignment,27.89236575619829,True,True
1,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Anti-Assignment,BM25_leakage_controlled,5,1,1.0,Anti-Assignment,27.89236575619829,True,True
1,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Anti-Assignment,BM25_leakage_controlled,10,1,1.0,Anti-Assignment,27.89236575619829,True,True
1,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Anti-Assignment,SBERT_leakage_controlled,1,1,1.0,Anti-Assignment,0.6175947189331055,True,True
1,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Anti-Assignment,SBERT_leakage_controlled,3,1,1.0,Anti-Assignment,0.6175947189331055,True,True
1,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Anti-Assignment,SBERT_leakage_controlled,5,1,1.0,Anti-Assignment,0.6175947189331055,True,True
1,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Anti-Assignment,SBERT_leakage_controlled,10,1,1.0,Anti-Assignment,0.6175947189331055,True,True
2,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,Revenue/Profit Sharing,BM25_leakage_controlled,1,0,0.0,License Grant,62.94012916205,True,True
2,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,Revenue/Profit Sharing,BM25_leakage_controlled,3,0,0.0,License Grant,62.94012916205,True,True
2,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,Revenue/Profit Sharing,BM25_leakage_controlled,5,0,0.0,License Grant,62.94012916205,True,True
2,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,Revenue/Profit Sharing,BM25_leakage_controlled,10,0,0.0,License Grant,62.94012916205,True,True
2,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,Revenue/Profit Sharing,SBERT_leakage_controlled,1,0,0.0,Document Name,0.7397966980934143,True,True
2,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,Revenue/Profit Sharing,SBERT_leakage_controlled,3,0,0.0,Document Name,0.7397966980934143,True,True
2,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,Revenue/Profit Sharing,SBERT_leakage_controlled,5,0,0.0,Document Name,0.7397966980934143,True,True
2,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,Revenue/Profit Sharing,SBERT_leakage_controlled,10,0,0.0,Document Name,0.7397966980934143,True,True
3,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",Change Of Control,BM25_leakage_controlled,1,0,0.0,Anti-Assignment,17.826512655142484,True,True
3,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",Change Of Control,BM25_leakage_controlled,3,1,0.5,Anti-Assignment,17.826512655142484,True,True
