contract_id,label,text,clause_length_chars,clause_length_words,sentence_count,uppercase_ratio,relative_position,has_numbering,has_heading_keyword,has_signature_keyword,has_table_like_pattern,has_date,has_money,has_percentage,contains_negation,contains_obligation
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Document Name,DISTRIBUTOR AGREEMENT,21,2,1,0.9523809523809523,0.0,0,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Parties,Electric City of Illinois L.L.C.,32,5,3,0.1875,0.023255813953488372,0,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Parties,Electric City of Illinois LLC,29,5,1,0.20689655172413793,0.046511627906976744,0,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Agreement Date,"7th day of September, 1999.",27,5,1,0.037037037037037035,0.06976744186046512,1,0,0,0,1,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Effective Date,"The term of this Agreement shall be ten (10) years (the ""Term"") which shall commence on the date upon which the Company delivers to Distributor the last Sample, as defined hereinafter.",184,31,1,0.03260869565217391,0.09302325581395349,1,0,0,0,0,0,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Effective Date,"Unless earlier terminated otherwise provided therein, this Agreement, subject to the commencement date established in Section 1.3, shall be effective immediately.",162,21,2,0.018518518518518517,0.11627906976744186,1,1,0,0,0,0,0,1,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Expiration Date,"The term of this Agreement shall be ten (10) years (the ""Term"") which shall commence on the date upon which the Company delivers to Distributor the last Sample, as defined hereinafter.",184,31,1,0.03260869565217391,0.13953488372093023,1,0,0,0,0,0,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Renewal Term,"If Distributor complies with all of the terms of this Agreement, the Agreement shall be renewable on an annual basis for one (1) year terms for up to another ten (10) years on the same terms and conditions as set forth herein.",226,42,1,0.017699115044247787,0.16279069767441862,1,0,0,0,0,0,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Governing Law,This Agreement is to be construed according to the laws of the State of Illinois.,81,15,1,0.04938271604938271,0.18604651162790697,0,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Exclusivity,The Distributor shall not order or purchase Products from any source other than the Company.,92,15,1,0.043478260869565216,0.20930232558139536,0,0,0,0,0,0,0,1,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Exclusivity,"Company hereby appoints Distributor as Company's exclusive distributor within the Market and grants to Distributor the exclusive right to sell and distribute Products within the Market, and Distributor hereby accepts such appointment and such grant, in accordance with the terms and conditions of this Agreement.",312,45,1,0.028846153846153848,0.23255813953488372,0,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Exclusivity,"The Company appoints the Distributor as an exclusive distributor of Products in the Market, subject to the terms and conditions of this Agreement.",146,23,1,0.0410958904109589,0.2558139534883721,0,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,No-Solicit Of Customers,"Distributor further agrees that it will not interfere with or otherwise disrupt the business relations between the Company or nay of its affiliates and any of their current or prospective customers, suppliers or distributors, during the",236,36,1,0.00847457627118644,0.27906976744186046,0,0,0,0,0,0,0,1,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,No-Solicit Of Customers,"Term of the Agreement and for a period of eighteen (18) months thereafter, nor will Distributor solicit any customer or potential customer of Company to purchase a competitive product during that period.",203,32,1,0.019704433497536946,0.3023255813953488,1,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,No-Solicit Of Employees,"During the Term of this Agreement and for a period of twelve (12) months thereafter, the Distributor (on behalf of itself, each of its affiliates and each of their respective representatives) agrees that it will not directly or indirectly solicit or hire any executive, managerial or technical employee of the Company or any of its affiliates.",343,56,1,0.014577259475218658,0.32558139534883723,1,0,0,0,0,0,0,1,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Rofr/Rofo/Rofn,Distributor shall exercise its option to become exclusive Distributor of other Products or devices by serving written notification on Company of its election to become exclusive distributor within thirty (30) days upon which Company informed Distributor in writing of Company's intention to introduce other Products or devices.,327,47,1,0.024464831804281346,0.3488372093023256,1,0,0,0,0,0,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Rofr/Rofo/Rofn,"If Distributor does not exercise its option as herein provided, Company may distribute the other Products or devices within the Market itself or through other distributors.",172,26,1,0.029069767441860465,0.37209302325581395,0,0,0,0,1,0,0,1,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Rofr/Rofo/Rofn,"Should Company introduce other products or devices as contemplated by recital paragraph ""A"", Distributor shall have the option of becoming Company's exclusive distributor of such other Products or devices within the Market.",223,32,1,0.03139013452914798,0.3953488372093023,0,0,0,0,0,0,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Anti-Assignment,"No assignment of this Agreement or any right accruing hereunder shall be made by the Distributor in whole or in part, without the prior written consent of the Company, which consent shall not be unreasonably withheld.",217,36,1,0.018433179723502304,0.4186046511627907,0,0,0,0,0,0,0,1,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Anti-Assignment,"In the event either party (a) becomes adjudicated insolvent, (b) discontinues its business, (c) has voluntary of involuntary bankruptcy proceedings instituted against it, or (d) makes an assignment for the benefit of creditors, the other party shall be entitled to terminate this Agreement effective immediately upon written notice.",332,48,1,0.006024096385542169,0.4418604651162791,1,0,0,0,0,0,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Price Restrictions,"The Company also reserves the right to increase or decrease the price per unit based on Company wide changes in unit prices to all distributors of the Company, provided however, that any price changes, other than those based on the CPI, shall be uniformly applied to all distributors of the Products and shall reasonably applied to all distributors of the Products and shall reasonably reflect Company's costs of manufacturing the Products and/or market demand for the Products, provided further than any increase in price based upon market demand shall not be so great as to deprive Distributor of its normal and customary profit margin.",638,104,1,0.02037617554858934,0.46511627906976744,0,0,0,0,0,0,0,1,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Price Restrictions,The prices set forth in Section 2.4(a) shall be subject to adjustment annually on the first day of each Product Year beginning in the calendar year 2000 and on the first day of each succeeding Product Year for the remainder of the Term and all renewals of this Agreement in proportion to the increase or decrease in the Consumer Price Index (CPI) as compared to the CPI as it existed on the first day of the Term of this Agreement.,431,80,2,0.04408352668213457,0.4883720930232558,1,1,0,0,0,0,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Minimum Commitment,"A minimum of a $250,000.00 purchase order must be received by Company by the first of each month for a total (12) month period.",127,24,2,0.015748031496062992,0.5116279069767442,1,0,0,0,0,1,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Minimum Commitment,Company's representatives will make themselves available three days per month in the first Product Year to consult with and train Distributor.,142,21,1,0.028169014084507043,0.5348837209302325,0,0,0,0,0,0,0,0,0
